원문 표기,한국어 표기
Guards SMG,근위 기관단총병
Guastatori,구아스타토리
Hand Grenades,수류탄
Heavy MG [Danish Madsen],중기관총 [Danish Madsen]
Heavy MG [Fiat-Revelli],중기관총 [Fiat-Revelli]
Heavy MG [Goryunov SG43],중기관총 [Goryunov SG43]
Heavy MG [M1917A1 water-cooled .30cal],중기관총 [M1917A1 water-cooled .30cal]
Heavy MG [MG34/MG42 tripod],중기관총 [MG34/MG42 tripod]
Heavy MG [Vickers Mk 1],중기관총 [Vickers Mk 1]
Hero,영웅
Hidden Entrenchments,숨겨진 참호
Hidden Mines,숨겨진 지뢰
Hidden Pillbox,숨겨진 토치카
Hidden Unit,숨겨진 유닛
Hidden Wire,숨겨진 철조망
IG 18 Gun [75mm leIG 18],IG 18 보병포 [75mm leIG 18]
IG 33 Gun [150mm sIG 33],IG 33 보병포 [150mm sIG 33]
Infantry Gun [76.2mm 75-27],보병포 [76.2mm 75-27]
Infiltration,침투
Interdiction,차단
Interrogation,심문
Italian quantity,이탈리아 수량
Jammed,작동 불량
KIA,전사
Leader,지휘관
Legionnaire,외인부대
Lieutenant X,중위 X
Lieutenant Y,중위 Y
Light MG [Breda model 1930],경기관총 [Breda model 1930]
Light MG [Bren Gun],경기관총 [Bren Gun]
Light MG [Chatellerault M1929],경기관총 [Chatellerault M1929]
Light MG [Degtyarev DP],경기관총 [Degtyarev DP]
Light MG [MG34/MG42 bipod],경기관총 [MG34/MG42 bipod]
Light Mortar [2-inch],경박격포 [2-inch]
Light Mortar [50mm GW36],경박격포 [50mm GW36]
Light Mortar [50mm M40],경박격포 [50mm M40]
Light Mortar [60mm M2],경박격포 [60mm M2]
Light Wounds,경상
Line,일선
Malfunction,고장
Marksmanship,정밀 사격
Medic,의무병
Medium MG [Breda model 1937],중형 기관총 [Breda model 1937]
Medium MG [M1919A4 air-cooled .30cal],중형 기관총 [M1919A4 air-cooled .30cal]
Medium MG [Maxim M1910],중형 기관총 [Maxim M1910]
Medium Mortar [3-inch],중박격포 [3-inch]
Medium Mortar [81mm Brandt],중박격포 [81mm Brandt]
Medium Mortar [81mm GW34],중박격포 [81mm GW34]
Medium Mortar [81mm M1],중박격포 [81mm M1]
Medium Mortar [81mm model 35],중박격포 [81mm model 35]
Medium Mortar [82mm M37],중박격포 [82mm M37]
Militia,민병
Mission Objective,임무 목표
Molotov Cocktail [Stoli],화염병 [Stoli]
Morale,사기
Mountain Gun [cannone da 65/17],산포 [cannone da 65/17]
Move,이동
Move­ ment,이동력
Name,명칭
Name [representative example],명칭 [대표 예시]
No Quarter,무자비
Order,명령
Ord­ nance?,포 계열 무기?
Pack Howitzer [75mm M1A1],분해식 곡사포 [75mm M1A1]
Parachute,낙하산병
Paratroop,공수병
Pionier,공병
Prisoners of War,전쟁 포로
Private,이병
Radio,무전기
Range,사거리
Rdm Hex,무작위 헥스
Reconnaissance,정찰
Recover,회복
Reinforcements,증원
Reservist,예비군
Rifle,소총병
Rout,패주
Rubble,잔해
Russian quantity,소련 수량
SMG,기관단총병
SS,SS
Sappers,공병
Satchel Charge,폭약 가방
Scrounge,물자 수색
Sergeant X,병장 X
Sergeant Y,병장 Y
Shell Shock,전투 충격
Shellholes,포탄 구덩이
Sissi,시시
Smoke Grenades,연막탄
Smoke?,연막?
Sniper,저격수
Spray Fire,분산 사격
Squad,분대
Strategic Objective,전략 목표
Suppressing Fire,제압 사격
Sustained Fire,지속 사격
Team,조
Territorial,향토병
Time,시간
Trigger,트리거
Type,유형
Unit Manifest,유닛 목록
Volksgrenadier,국민척탄병
Walking Wounded,경상병
Weapon,무기
Weapon / Radio Manifest,무기 / 무전기 목록
White Phosphorus,백린탄
broken side,와해 면
front side ( |#| = boxed stat ),앞면 ( |#| = 테두리가 있는 능력치 )
reverse,뒷면
total,합계
